work_year,salary_in_usd,salary_category,salary_quartile,salary_quartile_encoded,remote_type,PC1,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,remote_type__Fully,remote_type__Hybrid,remote_type__On-site
2024,90200,Medium,Q1,0,Fully,67.95573256864837,False,False,True,False,True,False,False
2024,140000,High,Q2,1,On-site,-32.04508364068623,False,False,True,False,False,False,True
2024,110000,High,Q2,1,On-site,-32.0445372947462,False,False,True,False,False,False,True
2024,140000,High,Q2,1,Fully,67.95531981020281,False,False,True,False,True,False,False
2024,120000,High,Q2,1,Fully,67.9556840408295,False,False,True,False,True,False,False
2024,117647,High,Q2,1,On-site,-32.04505489802268,False,False,False,True,False,False,True
2024,138000,High,Q2,1,On-site,-32.04504721762356,False,False,False,True,False,False,True
2024,86000,Medium,Q1,0,On-site,-32.04410021799417,False,False,False,True,False,False,True
2024,199700,High,Q4,3,On-site,-32.04617086910689,False,False,True,False,False,False,True
2024,70800,Medium,Q1,0,On-site,-32.04382340271789,False,False,True,False,False,False,True
2024,175000,High,Q3,2,On-site,-32.04522686846804,False,False,True,False,False,False,True
2024,130000,High,Q2,1,On-site,-32.04440734955799,False,False,True,False,False,False,True
2024,169847,High,Q3,2,Fully,67.95477625062708,False,False,True,False,True,False,False
2024,131631,High,Q2,1,Fully,67.95547222250855,False,False,True,False,True,False,False
2024,277000,Very High,Q4,3,On-site,-32.047084444664144,False,False,True,False,False,False,True
2024,173000,High,Q3,2,On-site,-32.045190445405375,False,False,True,False,False,False,True
2024,264500,Very High,Q4,3,Fully,67.95305247455168,False,False,True,False,True,False,False
2024,165600,High,Q3,2,Fully,67.95485359500066,False,False,True,False,True,False,False
2024,194000,High,Q4,3,Fully,67.95433638751075,False,False,True,False,True,False,False
2024,168000,High,Q3,2,Fully,67.95480988732545,False,False,True,False,True,False,False
2024,90000,Medium,Q1,0,On-site,-32.04417306411951,False,False,True,False,False,False,True
2024,70000,Medium,Q1,0,On-site,-32.043808833492825,False,False,True,False,False,False,True
2024,137000,High,Q2,1,On-site,-32.045523181907114,False,False,True,False,False,False,True
2024,60400,Medium,Q1,0,On-site,-32.044128178606904,False,False,True,False,False,False,True
2024,197689,High,Q4,3,On-site,-32.0451458940876,False,False,True,False,False,False,True
2024,152311,High,Q3,2,On-site,-32.04431949121871,False,False,True,False,False,False,True
2024,209500,Very High,Q4,3,On-site,-32.045360990484184,False,False,True,False,False,False,True
2024,147500,High,Q3,2,On-site,-32.044231875541456,False,False,True,False,False,False,True
2024,170000,High,Q3,2,Fully,67.95477346426279,False,False,True,False,True,False,False
